1610612737,Atlanta Hawks,1949,1
1610612738,Boston Celtics,1946,17
1610612739,Cleveland Cavaliers,1970,1
1610612740,New Orleans Pelicans,2002,0
1610612741,Chicago Bulls,1966,6
1610612742,Dallas Mavericks,1980,1
1610612743,Denver Nuggets,1976,0
1610612744,Golden State Warriors,1946,7
1610612745,Houston Rockets,1967,2
1610612746,Los Angeles Clippers,1970,0
1610612747,Los Angeles Lakers,1948,17
1610612748,Miami Heat,1988,3
1610612749,Milwaukee Bucks,1968,2
1610612750,Minnesota Timberwolves,1989,0
1610612751,Brooklyn Nets,1976,0
1610612752,New York Knicks,1946,2
1610612753,Orlando Magic,1989,0
1610612754,Indiana Pacers,1976,0
1610612755,Philadelphia 76ers,1949,3
1610612756,Phoenix Suns,1968,0
1610612757,Portland Trail Blazers,1970,1
1610612758,Sacramento Kings,1948,1
1610612759,San Antonio Spurs,1976,5
1610612760,Oklahoma City Thunder,1967,1
1610612761,Toronto Raptors,1995,1
1610612762,Utah Jazz,1974,0
1610612763,Memphis Grizzlies,1995,0
1610612764,Washington Wizards,1961,1
1610612765,Detroit Pistons,1948,3
1610612766,Charlotte Hornets,1988,0
