p_name,p_draftYear,p_draftPick,p_draftPos,Last Active Year,p_games,p_stats
Alaa Abdelnaby,1991,25,,1995,,
Zaid Abdul-Aziz,1969,,,1978,,
Kareem Abdul-Jabbar*,1970,,,1989,,
Mahmoud Abdul-Rauf,1991,3,,2001,,
Tariq Abdul-Wahad,1998,11,,2003,,
Shareef Abdur-Rahim,1997,3,,2008,,
Tom Abernethy,1977,,,1981,,
Forest Able,1957,,,1957,,
John Abramovic,1947,,,1948,,
Álex Abrines,2017,32,,2019,,
Precious Achiuwa,2021,20,,2022,,
Alex Acker,2006,60,,2009,,
Don Ackerman,1954,,,1954,,
Mark Acres,1988,,,1993,,
Bud Acton,1968,,,1968,,
Quincy Acy,2013,37,,2019,,
Alvan Adams,1976,,,1988,,
Don Adams,1971,,,1977,,
George Adams,1973,,,1975,,
Hassan Adams,2007,54,,2009,,
Jaylen Adams,2019,,,2021,,
Jordan Adams,2015,22,,2016,,
Michael Adams,1986,,,1996,,
Steven Adams,2014,12,,2022,,
Rafael Addison,1987,,,1997,,
Bam Adebayo,2018,14,,2022,,
Deng Adel,2019,,,2019,,
Rick Adelman*,1969,,,1975,,
Jeff Adrien,2011,,,2015,,
Arron Afflalo,2008,27,,2018,,
Maurice Ager,2007,28,,2011,,
Mark Aguirre,1982,,,1994,,
Blake Ahearn,2008,,,2012,,
Danny Ainge,1982,,,1995,,
Matthew Aitch,1968,,,1968,,
Alexis Ajinça,2009,20,,2017,,
Henry Akin,1967,,,1969,,
Josh Akognon,2013,,,2013,,
DeVaughn Akoon-Purcell,2019,,,2019,,
Solomon Alabi,2011,50,,2012,,
Mark Alarie,1987,,,1991,,
Gary Alcorn,1960,,,1961,,
Santi Aldama,2022,30,,2022,,
Furkan Aldemir,2015,53,,2015,,
Cole Aldrich,2011,11,,2018,,
LaMarcus Aldridge,2007,2,,2022,,
Chuck Aleksinas,1985,,,1985,,
Cliff Alexander,2016,,,2016,,
Cory Alexander,1996,29,,2005,,
Courtney Alexander,2001,13,,2003,,
Gary Alexander,1994,,,1994,,
Joe Alexander,2009,8,,2010,,
Kyle Alexander,2020,,,2020,,
Ty-Shon Alexander,2021,,,2021,,
Victor Alexander,1992,17,,2002,,
Nickeil Alexander-Walker,2020,17,,2022,,
Steve Alford,1988,,,1991,,
Rawle Alkins,2019,,,2019,,
Bill Allen,1968,,,1968,,
Bob Allen,1969,,,1969,,
Grayson Allen,2019,21,,2022,,
Jarrett Allen,2018,22,,2022,,
Jerome Allen,1996,49,,1997,,
Kadeem Allen,2018,53,,2020,,
Lavoy Allen,2012,50,,2017,,
Lucius Allen,1970,,,1979,,
Malik Allen,2002,,,2011,,
Randy Allen,1989,,,1990,,
Ray Allen*,1997,5,,2014,,
Tony Allen,2005,25,,2018,,
Willie Allen,1972,,,1972,,
Odis Allison,1972,,,1972,,
